88 1058200167 53.0
359135771 1060259 571982 53.0
8127335200 205043 109262 53.0
267873100 1062445 572975 53.0
14986979900 205043 109262 53.0
231790800 1062445 572975 53.0
8063476800 205043 109262 53.0
8319012800 205043 109262 53.0
83689100 205043 109262 53.0
83700600 205043 109262 53.0
71772200 205043 109262 53.0
302325200 1062445 572975 53.0
83957200 205043 109262 53.0
86178300 205043 109262 53.0
40197160100 1062445 572975 53.0
274106600 1062445 572975 53.0
50757600 136535 79124 57.0
31406300 205043 109262 53.0
176565100 1062445 572975 53.0
13673900 136535 79124 57.0
218314600 1062445 572975 53.0
14260100 136535 79124 57.0
262473300 1062445 572975 53.0
42480599 136535 79124 57.0
41166100 205043 109262 53.0
184534000 1062445 572975 53.0
17922801 136535 79124 57.0
224067500 1062445 572975 53.0
14927500 136535 79124 57.0
269521001 1062445 572975 53.0
292295300 1062445 572975 53.0
39027400 136535 79124 57.0
43144000 205043 109262 53.0
202269800 1062445 572975 53.0
16655100 136535 79124 57.0
219464600 1062445 572975 53.0
16602900 136535 79124 57.0
183134400 205043 109262 53.0
90277900 205043 109262 53.0
431084100 1062445 572975 53.0
98342900 205043 109262 53.0
353840600 1062445 572975 53.0
67145900 205043 109262 53.0
355205100 1062445 572975 53.0
143372700 205043 109262 53.0
161349900 205043 109262 53.0
401194700 1062445 572975 53.0
96269900 205043 109262 53.0
341180700 1062445 572975 53.0
50498000 205043 109262 53.0
320008000 1062445 572975 53.0
158548200 205043 109262 53.0
91671000 205043 109262 53.0
301242800 1062445 572975 53.0
31316600 205043 109262 53.0
295071400 1062445 572975 53.0
37369200 205043 109262 53.0
254448500 1062445 572975 53.0
74143600 205043 109262 53.0
73330400 205043 109262 53.0
171072100 1062445 572975 53.0
27098300 205043 109262 53.0
166268700 1062445 572975 53.0
31170500 205043 109262 53.0
159596700 1062445 572975 53.0
86443200 205043 109262 53.0
76151900 205043 109262 53.0
206402100 1062445 572975 53.0
41826200 205043 109262 53.0
195002500 1062445 572975 53.0
36377600 205043 109262 53.0
194815100 1062445 572975 53.0
85482000 205043 109262 53.0
237761400 1062445 572975 53.0
80979600 205043 109262 53.0
257727800 1062445 572975 53.0
110526848 205039 109209 53.0
42932577 205039 109209 53.0
256671118 1060259 571982 53.0
36343641 205039 109209 53.0
36330288 205039 109209 53.0
170871943 1060259 571982 53.0
170677758 1060259 571982 53.0
373125735 1060259 571982 53.0
225472872 1060259 571982 53.0
103823367 136382 78908 57.0
297213800 1062445 572975 53.0
446806100 1062445 572975 53.0
456571500 1062445 572975 53.0
